Kecamatan_Kota;Jumlah_Penderita_DM
Kabupaten Bogor;71462
Kabupaten Sukabumi;37523
Kabupaten Cianjur;14208
Kabupaten Bandung;32847
Kabupaten Garut;17732
Kabupaten Tasikmalaya;15049
Kabupaten Ciamis;79252
Kabupaten Kuningan;17663
Kabupaten Cirebon;22345
Kabupaten Majalengka;13024
Kabupaten Sumedang;79656
Kabupaten Indramayu;30709
Kabupaten Subang;16830
Kabupaten Purwakarta;12405
Kabupaten Karawang;139392
Kabupaten Bekasi;242169
Kabupaten Bandung Barat;17009
Kabupaten Pangandaran;16376
Kota Bogor;19694
Kota Sukabumi;2465
Kota Bandung;43906
Kota Cirebon;20834
Kota Bekasi;44714
Kota Depok;50631
Kota Cimahi;9716
Kota Tasikmalaya;8906
Kota Banjar;2340
