Kecamatan_Kota;Penderita_Laki;Penderita_Perempuan;Total_Penderita
Kabupaten Bogor;5682;4566;10248
Kabupaten Sukabumi;1854;1592;3446
Kabupaten Cianjur;2170;1998;4168
Kabupaten Bandung;3222;2894;6116
Kabupaten Garut;1937;1710;3647
Kabupaten Tasikmalaya;1017;691;1708
Kabupaten Ciamis;835;599;1434
Kabupaten Kuningan;1086;713;1799
Kabupaten Cirebon;2002;1401;3403
Kabupaten Majalengka;998;760;1758
Kabupaten Sumedang;705;599;1304
Kabupaten Indramayu;897;599;1496
Kabupaten Subang;1686;1375;3061
Kabupaten Purwakarta;956;780;1736
Kabupaten Karawang;2396;1600;3996
Kabupaten Bekasi;2693;1911;4604
Kabupaten Bandung Barat;749;690;1439
Kabupaten Pangandaran;214;144;358
Kota Bogor;992;904;1896
Kota Sukabumi;633;590;1223
Kota Bandung;4233;4029;8262
Kota Cirebon;706;496;1202
Kota Bekasi;2885;2338;5223
Kota Depok;1842;1469;3311
Kota Cimahi;837;882;1719
Kota Tasikmalaya;536;427;963
Kota Banjar;177;143;320
